title,source_title,year,doi,total_citations_wos_core
ESTIMATION OF STOCHASTIC MORTALITY MODELS FOR CHILE,ANALES DEL INSTITUTO DE ACTUARIOS ESPANOLES,2020,10.26360/2020_9,1
AN ALTERNATIVE PENSION REFORM FOR SPAIN BASED ON OPTIMISATION TECHNIQUES,ANALES DEL INSTITUTO DE ACTUARIOS ESPANOLES,2015,,0
Fair Pension Policies with Occupation-Specific Ageing,ECONOMIC JOURNAL,2024,10.1093/ej/ueae038,1
Partial de-annuitization of public pensions vs. retirement age differentiation: Which is best to account for longevity differences?,JOURNAL OF PENSION ECONOMICS & FINANCE,2024,10.1017/S1474747222000257,2
Risk aversion and longevity in an overlapping generations model,JOURNAL OF MACROECONOMICS,2022,10.1016/j.jmacro.2022.103415,1
Equity and sustainability as objectives before the reform of the contributory pension system,HACIENDA PUBLICA ESPANOLA-REVIEW OF PUBLIC ECONOMICS,2012,,1
Foreign Capital Flows and the Efficiency of the HDI Dimensions,GLOBAL ECONOMY JOURNAL,2005,10.2202/1524-5861.1058,5
Healthy bodies and thick wallets: The dual relation between health and economic status,JOURNAL OF ECONOMIC PERSPECTIVES,1999,10.1257/jep.13.2.145,862
Outcomes-adjusted reimbursement in a health-care delivery system,MANAGEMENT SCIENCE,2001,10.1287/mnsc.47.6.735.9816,43
How Large Are Bequest Motives? Estimates Based on Health Shocks,REVIEW OF FINANCIAL STUDIES,2023,10.1093/rfs/hhac093,3
"Indeterminacy, intergenerational redistribution, endogenous longevity and human capital accumulation",JOURNAL OF ECONOMIC DYNAMICS & CONTROL,2007,10.1016/j.jedc.2005.12.005,1
Decomposing world health inequality,JOURNAL OF HEALTH ECONOMICS,2003,10.1016/S0167-6296(02)00123-6,111
Optimum and risk-class pricing of annuities,ECONOMIC JOURNAL,2007,10.1111/j.1468-0297.2007.02009.x,5
Your Money or Your Life: Green Growth Policies and Welfare in 2050,ENVIRONMENTAL & RESOURCE ECONOMICS,2016,10.1007/s10640-014-9849-x,4
Winners and losers under various approaches to slowing social security benefit growth,NATIONAL TAX JOURNAL,2005,10.17310/ntj.2005.3.14,2
Measuring Technology Readiness Index Level: Scale Adaption Study,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE,2024,10.30798/makuiibf.1097662,0
"Health, Human Capital, and Domestic Violence",JOURNAL OF HUMAN RESOURCES,2021,10.3368/jhr.56.4.1115-7543R5,7
The Lazarus drug: the impact of antiretroviral therapy on economic growth,JOURNAL OF DEVELOPMENT ECONOMICS,2020,10.1016/j.jdeveco.2019.102409,11
Optimum taxation of life annuities,SOCIAL CHOICE AND WELFARE,2008,10.1007/s00355-007-0232-5,5
Functional disability with systematic trends and uncertainty: a comparison between China and the US,ANNALS OF ACTUARIAL SCIENCE,2022,10.1017/S1748499521000233,7
The Conditioning Role of Institutions in Environment-Health Outcomes Nexus in Africa,INTERNATIONAL ECONOMIC JOURNAL,2020,10.1080/10168737.2020.1824007,7
Parametric mortality improvement rate modelling and projecting,INSURANCE MATHEMATICS & ECONOMICS,2012,10.1016/j.insmatheco.2011.11.005,69
Expanding Product Variety and Human Capital Formation in an Ageing Economy,ECONOMIC ISSUES,2007,,1
Equity Release Mortgages in the UK: Regional Characteristics of Demand and Supply,INTERNATIONAL REAL ESTATE REVIEW,2024,,0
Do Statins Reduce the Health and Health Care Costs of Obesity?,PHARMACOECONOMICS,2015,10.1007/s40273-014-0234-y,14
The Effect of Spousal Loss on the Cognitive Ability of the Elder,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,2022,10.1515/bejeap-2021-0201,1
Does health capital have differential effects on economic growth?,APPLIED ECONOMICS LETTERS,2013,10.1080/13504851.2012.690844,22
"A model of longevity, fertility and growth",JOURNAL OF ECONOMIC DYNAMICS & CONTROL,2002,10.1016/S0165-1889(00)00022-1,133
Old-age longevity and mortality-contingent claims,JOURNAL OF POLITICAL ECONOMY,1998,10.1086/250021,80
The baby boomers and the productivity slowdown,EUROPEAN ECONOMIC REVIEW,2021,10.1016/j.euroecorev.2020.103609,2
Compression of morbidity and the labour supply of older people,APPLIED ECONOMICS,2011,10.1080/00036840802599941,10
Impact of Environmental Quality on Health Outcomes in Saudi Arabia: Does Research and Development Matter?,JOURNAL OF THE KNOWLEDGE ECONOMY,2023,10.1007/s13132-022-01024-8,12
Abatement Technology and the Environment-Growth Nexus with Education,ENVIRONMENTAL & RESOURCE ECONOMICS,2015,10.1007/s10640-014-9793-9,5
"Institutional, Economic, and Socio-Economic Determinants of the Entrepreneurial Activity of Nations",ADMINISTRATIVE SCIENCES,2021,10.3390/admsci11010026,15
Improved survival for individuals with common chronic conditions in the Medicare population,HEALTH ECONOMICS,2021,10.1002/hec.4168,4
PAYG PENSIONS AND HUMAN CAPITAL ACCUMULATION: SOME UNPLEASANT ARITHMETIC,MANCHESTER SCHOOL,2012,10.1111/j.1467-9957.2011.02251.x,10
"Mortality inequality, spatial differences and health care access",HEALTH ECONOMICS,2023,10.1002/hec.4746,5
Strategic gerontocracy: why nondemocratic systems produce older leaders,PUBLIC CHOICE,2017,10.1007/s11127-017-0449-5,5
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,AMERICAN ECONOMIC REVIEW,2019,10.1257/aer.20180279,335
International evidence on the determinants of alcohol advertising restrictions,APPLIED ECONOMICS LETTERS,2011,10.1080/13504851.2010.537621,1
Subjective outcomes ineconomics,SOUTHERN ECONOMIC JOURNAL,2004,,34
Education and Mortality: Evidence from a Social Experiment,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,2018,10.1257/app.20150365,60
Reply to: Econometric issues in testing the age neutrality of health care expenditure,HEALTH ECONOMICS,2001,10.1002/hec.637,4
"To be, or not to be, that is the question: An empirical study of the WTP for an increased life expectancy at an advanced age",JOURNAL OF RISK AND UNCERTAINTY,1996,10.1007/BF00057866,51
Air quality in welfare accounting,MACROECONOMIC DYNAMICS,2023,10.1017/S1365100522000074,0
Smoking risks in Spain:: Part III -: Determinants of smoking behavior,JOURNAL OF RISK AND UNCERTAINTY,2000,10.1023/A:1007811423934,21
The 15-Hour Week: Keynes's Prediction Revisited,ECONOMICA,2022,10.1111/ecca.12439,3
Education and income gradients in longevity: The role of policy,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,2022,10.1111/caje.12582,9
"Old-age provision: past, present, future",EUROPEAN ACTUARIAL JOURNAL,2016,10.1007/s13385-016-0136-9,11
Multivariate risk preferences in the quality-adjusted life year model,HEALTH ECONOMICS,2022,10.1002/hec.4456,4
"Aggregation bias-correcting approach to the health-income relationship: Life expectancy and GDP per capita in 148 countries, 1970-2010",ECONOMIC MODELLING,2017,10.1016/j.econmod.2016.12.001,22
Growth and welfare effects of health care in knowledge-based economies,JOURNAL OF HEALTH ECONOMICS,2016,10.1016/j.jhealeco.2016.01.009,34
OPTIMAL AGING AND DEATH: UNDERSTANDING THE PRESTON CURVE,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2014,10.1111/jeea.12071,88
Economic development: Evidence from directed acyclic graphs,MANCHESTER SCHOOL,2001,10.1111/1467-9957.00258,13
Endogenous Lifetime in an Overlapping-Generations Small Open Economy,FINANZARCHIV,2012,10.1628/001522112X639945,3
Consumer Preferences for Health and Nonhealth Outcomes of Health Promotion: Results from a Discrete Choice Experiment,VALUE IN HEALTH,2013,10.1016/j.jval.2012.08.2211,23
Accounting for Uncertainty in Decision Analytic Models Using Rank Preserving Structural Failure Time Modeling: Application to Parametric Survival Models.,VALUE IN HEALTH,2018,10.1016/j.jval.2017.07.008,4
Is there additional value attached to health gains at the end of life? A revisit,HEALTH ECONOMICS,2018,10.1002/hec.3534,9
Reaping what you sow: Historical rice farming and contemporary cooperative behavior in China,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2024,10.1016/j.jebo.2023.11.021,2
Benefit-Retirement Age Schedules and Redistribution in Public Pension Systems,FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,2015,,1
Do the Models of Institutional Quality Differ According to the Income Level of the Countries? The Case of the Low-Income Countries,HACIENDA PUBLICA ESPANOLA-REVIEW OF PUBLIC ECONOMICS,2013,10.7866/HPE-RPE.13.3.1,3
Urbanization and mortality decline,JOURNAL OF REGIONAL SCIENCE,2018,10.1111/jors.12375,12
Malthus in Sweden,SCANDINAVIAN JOURNAL OF ECONOMICS,2015,10.1111/sjoe.12119,16
EDUCATION AND THE PROGRESSIVITY OF PENSION SYSTEMS. WHEN THE LIFE EXPECTANCY DIFFERENTIAL MATTERS,REVUE ECONOMIQUE,2010,10.3917/reco.614.0751,0
The Health Inequality Impact of a New Cancer Therapy Given Treatment and Disease Characteristics,VALUE IN HEALTH,2024,10.1016/j.jval.2023.11.001,1
Should we adjust health expenditure for age structure on health systems efficiency? A worldwide analysis,HEALTH ECONOMICS REVIEW,2023,10.1186/s13561-023-00421-2,5
A contribution to the theory of economic development and the demographic transition: fertility reversal under the HIV epidemic,JOURNAL OF DEMOGRAPHIC ECONOMICS,2020,10.1017/dem.2019.21,9
New engines of economic growth: How digital currencies lead the way to growth in the era of digital economy,ECONOMIC ANALYSIS AND POLICY,2023,10.1016/j.eap.2023.10.028,4
Cost-effectiveness of bariatric surgical procedures for the treatment of severe obesity,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2014,10.1007/s10198-013-0472-5,34
"Waste not, want not: The efficiency of health expenditure in emerging and developing economies",REVIEW OF DEVELOPMENT ECONOMICS,2018,10.1111/rode.12346,30
"ENVIRONMENTAL DYNAMICS AND THE LINKS BETWEEN GROWTH, VOLATILITY AND MORTALITY",BULLETIN OF ECONOMIC RESEARCH,2013,10.1111/j.1467-8586.2011.00410.x,7
A spatial analysis of the health and longevity of Taiwanese people,GENEVA PAPERS ON RISK AND INSURANCE-ISSUES AND PRACTICE,2024,10.1057/s41288-024-00322-3,0
Welfare impact of organic cotton adoption in Benin,ECONOMICS BULLETIN,2023,,0
Malaria and Chinese economic activities in Africa,JOURNAL OF DEVELOPMENT ECONOMICS,2022,10.1016/j.jdeveco.2021.102739,5
Long-run pollution exposure and mortality: Evidence from the Acid Rain Program,JOURNAL OF PUBLIC ECONOMICS,2021,10.1016/j.jpubeco.2021.104440,28
Predictive Modeling of Threshold Life Tables,NORTH AMERICAN ACTUARIAL JOURNAL,2020,10.1080/10920277.2019.1633929,0
The Challenge of Organizing Elderly Care Programmes: Optimal Policy Design under Complete and Asymmetric Information,B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,2020,10.1515/bejeap-2019-0194,2
TRANSITION AND MORTALITY IMPACT IN POST-COMMUNIST ROMANIA,TRANSFORMATIONS IN BUSINESS & ECONOMICS,2018,,2
IS INDEPENDENCE GOOD OR BAD FOR DEVELOPMENT IN SMALL ISLAND ECONOMIES? A LONG-RUN ANALYSIS,REGION ET DEVELOPPEMENT,2015,,11
"Economic, demographic, and institutional determinants of life insurance consumption across countries",WORLD BANK ECONOMIC REVIEW,2003,10.1093/wber/lhg011,285
THE CONTRIBUTION OF FEMALE HEALTH TO ECONOMIC DEVELOPMENT,ECONOMIC JOURNAL,2020,10.1093/ej/ueaa061,26
The effect of air pollution on mortality in China: Evidence from the 2008 Beijing Olympic Games,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2016,10.1016/j.jeem.2016.04.004,278
Human capital convergence: A joint estimation approach,IMF STAFF PAPERS,2002,,17
THE RETIREMENT IN SPAIN: OPTIMAL AGE AND ACTUARIAL EQUITY,ANALES DEL INSTITUTO DE ACTUARIOS ESPANOLES,2019,10.26360/2019_1,0
Mining away the Preston curve,WORLD DEVELOPMENT,2016,10.1016/j.worlddev.2015.10.013,34
"Childhood economic conditions and length of life: Evidence from the UK Boyd Orr cohort, 1937-2005",JOURNAL OF HEALTH ECONOMICS,2010,10.1016/j.jhealeco.2009.10.004,27
Life expectancy and trade openness: causality in Latin America,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,2020,10.1108/IJSE-01-2020-0013,0
Has mortality risen disproportionately for the least educated?,JOURNAL OF HEALTH ECONOMICS,2021,10.1016/j.jhealeco.2021.102494,8
Endogenous lifetime and economic growth,JOURNAL OF ECONOMIC THEORY,2004,10.1016/j.jet.2003.07.005,217
Comparison of Modes of Administration and Alternative Formats for Eliciting Societal Preferences for Burden of Illness,APPLIED HEALTH ECONOMICS AND HEALTH POLICY,2016,10.1007/s40258-015-0197-y,26
Macroeconomic consequences of the Russian mortality crisis,WORLD DEVELOPMENT,1998,10.1016/S0305-750X(98)00098-9,27
A SIMPLE THEORY OF THE EFFECTS OF INDUSTRIALIZATION,MACROECONOMIC DYNAMICS,2017,10.1017/S1365100515000401,1
"Less labor, longer lives: Time to share",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,1996,10.1080/09537329608524254,0
Appropriate Categorization of Inequality to Inform Policy Decisions: Estimating Distribution of Lifetime Health Using Alternative Approaches to Socioeconomic Stratification,VALUE IN HEALTH,2024,10.1016/j.jval.2023.10.001,0
Optimal Expectations and Limited Medical Testing: Evidence from Huntington Disease,AMERICAN ECONOMIC REVIEW,2013,10.1257/aer.103.2.804,128
Coping with Spain's aging: retirement rules and incentives,JOURNAL OF PENSION ECONOMICS & FINANCE,2010,10.1017/S1474747209990308,4
Optimism and economic choice,JOURNAL OF FINANCIAL ECONOMICS,2007,10.1016/j.jfineco.2006.09.003,408
CLUSTER-ANALYSIS FOR MEASURING WELFARE AND QUALITY-OF-LIFE ACROSS COUNTRIES,JOURNAL OF ECONOMETRICS,1991,10.1016/0304-4076(91)90093-S,53
Empirical determinants of intertemporal choice,JOURNAL OF FINANCIAL ECONOMICS,2015,10.1016/j.jfineco.2015.04.004,23
Public and private expenditures on health in a growth model,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,2007,10.1016/j.jedc.2006.07.007,59
The Human Development Index and changes in standards of living: Some historical comparisons,EUROPEAN REVIEW OF ECONOMIC HISTORY,1997,10.1017/S1361491697000142,72
"Mortality recovery and stabilization in Kazakhstan, 1995-2001",ECONOMICS & HUMAN BIOLOGY,2005,10.1016/j.ehb.2004.12.003,15
The effects of fuel standards on air pollution: Evidence from China,JOURNAL OF DEVELOPMENT ECONOMICS,2020,10.1016/j.jdeveco.2020.102488,80
A Financial Protection Strategy for Families That Have a Child With Down Syndrome,JOURNAL OF FINANCIAL COUNSELING AND PLANNING,2018,10.1891/1052-3073.29.1.91,1
Risk beliefs and smoking behavior,ECONOMIC INQUIRY,2008,10.1111/j.1465-7295.2007.00079.x,31
To buy or not to buy: household risk hedging of housing costs,ACCOUNTING AND FINANCE,2017,10.1111/acfi.12333,2
The value of health and longevity,JOURNAL OF POLITICAL ECONOMY,2006,10.1086/508033,426
Health and economic development-evidence from the introduction of public health care,JOURNAL OF POPULATION ECONOMICS,2013,10.1007/s00148-012-0450-8,34
"OPTIMAL INVESTMENT, EDUCATION, AND CONSUMPTION UNDER DEMOGRAPHIC CHANGES FOR A SMALL-OPEN ECONOMY",SINGAPORE ECONOMIC REVIEW,2009,,1
The role of technology in the non-renewable energy consumption-quality of life nexus: insights from sub-Saharan African countries,ECONOMIC CHANGE AND RESTRUCTURING,2022,10.1007/s10644-020-09312-6,48
The Impact of Funding Inpatient Treatments for COVID-19 on Health Equity in the United States: A Distributional Cost-Effectiveness Analysis,VALUE IN HEALTH,2023,10.1016/j.jval.2022.08.010,11
Key Factors Affecting Valuation for Senior Apartments,JOURNAL OF REAL ESTATE RESEARCH,2012,,8
Potential Bias Associated with Modeling the Effectiveness of Healthcare Interventions in Reducing Mortality Using an Overall Hazard Ratio,PHARMACOECONOMICS,2020,10.1007/s40273-019-00859-5,4
The junctions of pension reforms: Russian and international experience,VOPROSY EKONOMIKI,2019,10.32609/0042-8736-2019-9-5-39,3
Subjective expectations regarding ageing: a cross-sectional online population survey in Hungary,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2019,10.1007/s10198-019-01059-w,11
The Clinical and Economic Burden of Nonadherence with Antihypertensive and Lipid-Lowering Therapy in Hypertensive Patients,VALUE IN HEALTH,2009,10.1111/j.1524-4733.2008.00447.x,71
"Cost Effectiveness of Facility-Based Care, Home-Based Care and Mobile Clinics for Provision of Antiretroviral Therapy in Uganda",PHARMACOECONOMICS,2009,10.2165/11318230-000000000-00000,32
Cost-effectiveness of HIV screening of blood donations in Accra (Ghana),VALUE IN HEALTH,2008,10.1111/j.1524-4733.2008.00337.x,18
"Cost-effectiveness of interferon beta-1a, interferon beta-1b, and glatiramer acetate in newly diagnosed non-primary progressive multiple sclerosis",VALUE IN HEALTH,2004,10.1111/j.1524-4733.2004.75007.x,61
The budget impact and cost-effectiveness of defibrotide for treatment of veno-occlusive disease with multi-organ dysfunction in patients post-hematopoietic stem cell transplant,JOURNAL OF MEDICAL ECONOMICS,2017,10.1080/13696998.2016.1275652,7
COST EFFECTIVENESS OF THE HEALTH SYSTEM,TERRA ECONOMICUS,2013,,2
MODELING AND FORECASTING UNITED-STATES SEX DIFFERENTIALS IN MORTALITY,INTERNATIONAL JOURNAL OF FORECASTING,1992,10.1016/0169-2070(92)90055-E,93
Burden of suicide in Poland in 2012: how could it be measured and how big is it?,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2018,10.1007/s10198-017-0892-8,9
Human development and inequalities: The importance of social public spending,STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,2024,10.1016/j.strueco.2023.12.008,0
Appraising the trend of policy on poverty alleviation programmes in Nigeria with emphasis on a National Poverty Eradication Programme (NAPEP),AFRICAN JOURNAL OF BUSINESS MANAGEMENT,2009,,9
Cancer premiums and latency effects: A risk tradeoff approach for valuing reductions in fatal cancer risks,JOURNAL OF RISK AND UNCERTAINTY,2008,10.1007/s11166-008-9032-2,41
Waste import and air pollution: Evidence from China's waste import ban,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2023,10.1016/j.jeem.2023.102837,8
Growth and Welfare under Endogenous Lifetimes*,SCANDINAVIAN JOURNAL OF ECONOMICS,2021,10.1111/sjoe.12455,3
Non-spatial and spatial econometric analysis of tourism demand in a panel of countries around the world,SPATIAL ECONOMIC ANALYSIS,2022,10.1080/17421772.2021.1940256,11
Does When You Die Depend on Where You Live? Evidence from Hurricane Katrina,AMERICAN ECONOMIC REVIEW,2020,10.1257/aer.20181026,51
Population Health and Economic Growth in Sub-Saharan Africa: A Panel Cointegration Analysis,JOURNAL OF AFRICAN BUSINESS,2014,10.1080/15228916.2014.881227,9
Trends in local and small area mortality and morbidity in Yorkshire and the Humber: Monitoring health inequalities,REGIONAL STUDIES,2006,10.1080/00343400600757395,11
The predictive validity of subjective probabilities of survival,ECONOMIC JOURNAL,2002,10.1111/1468-0297.00065,215
The effects of education on mortality: Evidence using college expansions,HEALTH ECONOMICS,2024,10.1002/hec.4787,3
Cheap children and the persistence of poverty,ECONOMIC JOURNAL,2005,10.1111/j.1468-0297.2004.00961.x,161
Challenges facing Malaysia pension scheme in an era of ageing population,FINANCE RESEARCH LETTERS,2019,10.1016/j.frl.2018.10.017,11
A suicidal Kuznets curve?,ECONOMICS LETTERS,2018,10.1016/j.econlet.2018.02.013,13
THE QALY - A MEASURE OF SOCIAL VALUE RATHER THAN INDIVIDUAL UTILITY,HEALTH ECONOMICS,1994,10.1002/hec.4730030205,40
Determinants of life insurance consumption in Africa,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,2016,10.1016/j.ribaf.2015.10.016,59
Does longevity cause growth? A theoretical critique,JOURNAL OF ECONOMIC GROWTH,2006,10.1007/s10887-006-9008-5,76
Human Development in Russia: Major Achievements and Threats,REGIONOLOGIYA-REGIONOLOGY RUSSIAN JOURNAL OF REGIONAL STUDIES,2019,10.15507/2413-1407.106.027.201902.310-329,1
Cost-Effectiveness of Maraviroc for Antiretroviral Treatment-Experienced HIV-infected Individuals in Mexico,VALUE IN HEALTH,2010,10.1111/j.1524-4733.2010.00798.x,7
"An Asian regional analysis of cost-effectiveness of early irbesartan treatment versus conventional antihypertensive, late amlodipine, and late irbesartan treatments in patients with type 2 diabetes, hypertension, and nephropathy",VALUE IN HEALTH,2008,10.1111/j.1524-4733.2007.00250.x,15
Redistributive Capacity and International Trade: A Cross-Country Analysis,GLOBAL ECONOMIC REVIEW,2023,10.1080/1226508X.2023.2215786,0
"Role of Financial Inclusion in Human Development: Evidence from Bangladesh, India and Pakistan",JOURNAL OF THE KNOWLEDGE ECONOMY,2024,10.1007/s13132-023-01366-x,13
IS CHINA'S POLLUTION THE CULPRIT FOR THE CHOKING OF SOUTH KOREA? EVIDENCE FROM THE ASIAN DUST,ECONOMIC JOURNAL,2019,10.1093/ej/uez021,32
The long run health consequences of rural-urban migration,QUANTITATIVE ECONOMICS,2019,10.3982/QE962,20
Quality of the Population of the Penza Region as a Most Important Socio-Economic Indicator of Regional Development,REGIONOLOGIYA-REGIONOLOGY RUSSIAN JOURNAL OF REGIONAL STUDIES,2020,10.15507/2413-1407.113.028.202004.754-777,0
Public education and social security: a political economy approach,ECONOMICS OF GOVERNANCE,2015,10.1007/s10101-014-0149-2,5
Development Consequences of Armed Conflict,WORLD DEVELOPMENT,2012,10.1016/j.worlddev.2012.04.031,221
Cultural practices and life insurance consumption: An international analysis using GLOBE scores,JOURNAL OF MULTINATIONAL FINANCIAL MANAGEMENT,2009,10.1016/j.mulfin.2009.02.001,38
Social network utility and the economics of risk: the case of HIV,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,1998,10.1016/S0167-2681(97)00091-7,2
"A POPULATION PROJECTION FOR INDONESIA, 2010-2035",BULLETIN OF INDONESIAN ECONOMIC STUDIES,2014,10.1080/00074918.2014.896240,9
International Comparisons of Living Standards by Equivalent Incomes,SCANDINAVIAN JOURNAL OF ECONOMICS,2009,10.1111/j.1467-9442.2009.01578.x,57
"LONG-TERM DETERMINANTS OF THE DEMOGRAPHIC TRANSITION, 1870-2000",REVIEW OF ECONOMICS AND STATISTICS,2013,10.1162/REST_a_00302,70
Market evidence of misperceived mortality risk,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2009,10.1016/j.jebo.2008.10.014,7
The effect of longevity on schooling and fertility: evidence from the Brazilian Demographic and Health Survey,JOURNAL OF POPULATION ECONOMICS,2006,10.1007/s00148-005-0018-y,28
Financial Planning for Retirement: The Mediating Role of Culture,RISKS,2022,10.3390/risks10050104,4
Periodic or generational actuarial tables: which one to choose?,EUROPEAN ACTUARIAL JOURNAL,2019,10.1007/s13385-019-00198-x,1
Pandemics and regional economic growth: evidence from the Great Influenza in Italy,EUROPEAN REVIEW OF ECONOMIC HISTORY,2022,10.1093/erehj/heab009,8
"MYOPIC MISERY: MATERNAL DEPRESSION, CHILD INVESTMENTS, AND THE NEUROBIOLOGICAL POVERTY TRAP",MACROECONOMIC DYNAMICS,2019,10.1017/S1365100516001243,1
Labor and consumption across the lifecycle,JOURNAL OF THE ECONOMICS OF AGEING,2013,10.1016/j.jeoa.2013.06.002,12
Elites and health infrastructure improvements in industrializing regimes,JOURNAL OF ECONOMIC GROWTH,2024,10.1007/s10887-023-09237-5,0
Infrastructure and Development in Rural India,MARGIN-JOURNAL OF APPLIED ECONOMIC RESEARCH,2017,10.1177/0973801017703499,23
"The assessment: The twentieth century - Achievements, failures, lessons",OXFORD REVIEW OF ECONOMIC POLICY,1999,10.1093/oxrep/15.4.1,30
Military spending and sustainable development,REVIEW OF DEVELOPMENT ECONOMICS,2022,10.1111/rode.12893,6
Different demographic changes and patterns of trade in a Heckscher-Ohlin setting,JOURNAL OF POPULATION ECONOMICS,2012,10.1007/s00148-011-0363-y,15
"Mortality, Family and Lifestyles",JOURNAL OF FAMILY AND ECONOMIC ISSUES,2011,10.1007/s10834-010-9229-9,15
HETEROGENEITY IN MARGINAL NON-MONETARY RETURNS TO HIGHER EDUCATION,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2019,10.1093/jeea/jvx058,21
"Education, Information, and Smoking Decisions Evidence from Smoking Histories in the United States, 1940-2000",JOURNAL OF HUMAN RESOURCES,2010,10.1353/jhr.2010.0009,62
"COGNITION, OPTIMISM, AND THE FORMATION OF AGE-DEPENDENT SURVIVAL BELIEFS",INTERNATIONAL ECONOMIC REVIEW,2021,10.1111/iere.12497,10
BISMARCK'S HEALTH INSURANCE AND THE MORTALITY DECLINE,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2020,10.1093/jeea/jvz052,12
Indexing Public Pensions in Progress to Wages or Prices,CENTRAL EUROPEAN JOURNAL OF ECONOMIC MODELLING AND ECONOMETRICS,2020,10.24425/cejeme.2020.133720,3
How the Ageing Population Contributes to UK Economic Activity: A Microsimulation Analysis,SCOTTISH JOURNAL OF POLITICAL ECONOMY,2016,10.1111/sjpe.12106,3
Willingness to Pay for Clean Air: Evidence from Air Purifier Markets in China,JOURNAL OF POLITICAL ECONOMY,2020,10.1086/705554,236
VOG: USING VOLCANIC ERUPTIONS TO ESTIMATE THE HEALTH COSTS OF PARTICULATES,ECONOMIC JOURNAL,2019,10.1111/ecoj.12609,20
"Aging, social security design, and capital accumulation",JOURNAL OF THE ECONOMICS OF AGEING,2017,10.1016/j.jeoa.2016.10.003,13
A Human Development Index by Income Groups,WORLD DEVELOPMENT,2008,10.1016/j.worlddev.2007.12.001,71
The Effects of Foreign Aid in Sub-Saharan Africa,ECONOMIC AND SOCIAL REVIEW,2016,,8
Women farmers and community well-being under modeling uncertainty,APPLIED ECONOMIC PERSPECTIVES AND POLICY,2024,10.1002/aepp.13406,2
Socio-economic Determinants of Retirement Age: Literature Review,EKONOMIKA I MATEMATICESKIE METODY-ECONOMICS AND MATHEMATICAL METHODS,2017,,0
Is health expenditure effective for achieving healthcare goals? Empirical evidence from South-East Asia Region,ASIA-PACIFIC JOURNAL OF REGIONAL SCIENCE,2020,10.1007/s41685-020-00158-4,37
Shaping the Population and Labor Resources in the Russian Far East,ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,2019,10.15838/esc.2019.1.61.3,2
"Pension expenses, risk, and implications for stock returns",FINANCE RESEARCH LETTERS,2024,10.1016/j.frl.2024.105016,3
Impact of air pollution on labor productivity: Evidence from prison factory data,CHINA ECONOMIC QUARTERLY INTERNATIONAL,2021,10.1016/j.ceqi.2021.04.004,26
Social Security System's Demographic Structure: Metamorphosis in Turkey Pension System,MALIYE DERGISI,2008,,0
Evaluating Extensions to Coherent Mortality Forecasting Models,RISKS,2017,10.3390/risks5010016,8
HUMAN SURVIVAL AT OLDER AGES AND THE IMPLICATIONS FOR LONGEVITY BOND PRICING,NORTH AMERICAN ACTUARIAL JOURNAL,2011,10.1080/10920277.2011.10597620,13
"ESTIMATES OF THE INCIDENCE, PREVALENCE, DURATION, INTENSITY, AND COST OF CHRONIC DISABILITY AMONG THE U.S. ELDERLY",NORTH AMERICAN ACTUARIAL JOURNAL,2011,10.1080/10920277.2011.10597608,16
Violence and Human Capital Investments,JOURNAL OF LABOR ECONOMICS,2021,10.1086/711001,16
Subjective mortality expectations and consumption and saving behaviours among the elderly,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,2010,10.1111/j.1540-5982.2010.01605.x,46
Adverse selection in the annuity market when payoffs vary over the time of retirement,JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE,2005,10.1628/0932456054254498,7
The retirement puzzle,AUSTRALIAN JOURNAL OF MANAGEMENT,2022,10.1177/03128962211014577,3
Respiratory tuberculosis and standards of living in postwar Europe,EUROPEAN REVIEW OF ECONOMIC HISTORY,2014,10.1093/ereh/het018,3
